pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_spectype,st_teff,st_rad,st_mass,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,323.21,1.178,12.2,4914.89849,,G8 III,4874.0,13.76,2.09,93.1846,4.72307,2.282,4.44038
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,1.53,12.3,4684.8142,,K4 III,4213.0,29.79,2.78,125.321,5.013,1.939,4.56216
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,186.76,0.775,13.1,1131.1513,,K0 III,4888.0,11.55,1.78,75.4392,5.23133,2.331,4.91781
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1765.0389,2.774,12.6,2559.47216,,K0 V,5338.0,0.93,0.91,17.9323,6.61935,4.714,6.383
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,798.5,1.66,13.5,565.7374,,G3 V,5750.0,1.13,1.08,21.1397,6.215,4.651,6.06428
17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,578.38,1.45,12.9,1373.01872,,K3 III,4157.0,25.92,1.22,124.953,5.22606,2.094,4.75429
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,982.85,2.476,12.5,2926.24614,,G6 III,4980.0,8.8,2.1,76.222,5.51048,3.366,5.27476
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,330.0,18.647,3000.0,1700.0,K7 V,4060.0,1.31,0.85,139.135,12.618,8.916,12.0572
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.33,0.194,13.9,280.64248,,G3 IV,4816.0,12.19,1.05,95.9863,5.59,3.159,5.3339
24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,452.8,1.333,13.4,632.46,,K0 IV,5098.0,4.9,1.54,72.0691,6.4535,4.285,6.20374
24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,883.0,2.08,13.9,273.32,,K0 IV,5098.0,4.9,1.54,72.0691,6.4535,4.285,6.20374
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,Subaru Telescope,,118.0,13.0,1271.31363,1450.0,M V,3100.0,0.84,0.17,128.484,16.186,10.386,14.3374
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Paranal Observatory,,84.0,12.3,4131.79,,M5.5/M6,,,0.19,47.2,15.788,9.237001,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,,52.0,11.209,7786.5,1600.0,M3.5 V,3530.0,0.37,0.4,33.8281,14.244,9.198,12.9025
